2025-11-19 10:41:02 [ERROR]: GET /api/products: Validation failed {"code":400,"details":[{"type":"field","value":"all","msg":"Invalid Category ID format","path":"categoryId","location":"query"}]}
2025-11-22 20:42:25 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:21 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:21 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:22 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:22 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:23 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:23 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:23 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:24 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:25 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:32 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:33 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:43:34 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:45:29 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:45:31 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:45:31 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:45:31 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:45:32 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:45:32 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:45:32 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:46:07 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:46:09 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:28 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:29 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:29 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:29 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:54 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:56 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:57 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:57 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:57 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:57 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:48:58 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:49:58 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:50:00 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:43 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:45 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:46 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:46 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:46 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:46 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:46 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:49 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:49 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:49 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:50 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:50 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:50 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:50 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:52 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:52 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:53 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:53 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:53 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:53 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:54 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:54 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:54 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:54 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:54 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:55 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:55 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:51:55 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:53:29 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:56:54 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:56:59 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:00 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:00 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:00 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:01 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:01 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:01 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:02 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:15 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:57:18 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:58:17 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:30 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:33 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:33 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:33 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:33 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:33 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:33 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:34 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:34 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:34 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:34 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:34 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 21:00:35 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
